-24.4,0.95565
-24,0.92771
-23.6,0.89267
-23.2,0.83439
-22.8,0.78676
-22.4,0.74497
-22,0.69498
-21.6,0.66054
-21.2,0.63078
-20.8,0.60401
-20.4,0.57511
-20,0.54622
-19.6,0.51814
-19.2,0.48721
-18.8,0.46114
-18.4,0.42956
-18,0.40766
-17.6,0.38124
-17.2,0.34494
-16.8,0.32829
-16.4,0.30401
-16,0.28188
-15.6,0.25807
-15.2,0.23864
-14.8,0.22027
-14.4,0.21201
-14,0.19811
-13.6,0.18606
-13.2,0.17786
-12.8,0.17064
-12.4,0.15939
-12,0.1554
-11.6,0.14877
-11.2,0.13522
-10.8,0.12088
-10.4,0.11408
-10,0.09886
-9.6,0.09059
-9.2,0.081
-8.8,-0.01682
-8.4,0.0671
-8,0.0631
-7.6,0.05629
-7.2,0.05261
-6.8,-0.073
-6.4,0.05261
-6,0.0477
-5.6,0.05403
-5.2,0.04318
-4.8,0.0406
-4.4,0.03801
-4,0.02678
-3.6,0.01945
-3.2,0.01421
-2.8,0.01344
-2.4,0.00498
-2,0.00992
-1.6,0.01516
-1.2,0.01201
-0.8,-0.00056
-0.4,0.00772
0,0.00446
0.4,0.01402
0.8,0.00164
1.2,0.00248
1.6,-0.00028
2,0.00208
2.4,-0.00382
2.8,0.0061
3.2,0.01093
3.6,0.01568
4,0.02436
4.4,0.03165
4.8,0.02376
5.2,0.03235
5.6,0.03754
6,0.03544
6.4,0.04234
6.8,0.04555
7.2,0.05419
7.6,0.06898
8,0.07772
8.4,0.0846
8.8,0.09956
9.2,0.11192
9.6,0.12038
10,0.14209
10.4,0.15307
10.8,0.15554
11.2,0.17076
11.6,0.18368
12,0.20541
12.4,0.21552
12.8,0.23436
13.2,0.23424
13.6,0.25111
14,0.26875
14.4,0.28728
14.8,0.29349
15.2,0.31335
15.6,0.32295
16,0.33817
16.4,0.3384
16.8,0.36294
17.2,0.39106
17.6,0.43291
18,0.46473
18.4,0.5087
18.8,0.55317
19.2,0.59661
19.6,0.64107
20,0.70164
20.4,0.7358
20.8,0.78834
21.2,0.83945
21.6,0.85208
